sequence_id,account_id,split,seq_len,label,recon_error,anomaly_score
C1789606671,C1789606671,train,11,1.0,0.2790497,0.32535762
C781083195,C781083195,train,27,1.0,0.316087,0.37185827
C1079262309,C1079262309,train,26,1.0,0.35535648,0.42116144
C315595990,C315595990,train,14,1.0,0.2614048,0.30320433
C999409522,C999409522,train,8,1.0,0.23286691,0.26737475
C453650328,C453650328,train,5,1.0,0.29424798,0.3444392
C1657758486,C1657758486,train,5,1.0,0.11340429,0.11738845
C1490141777,C1490141777,train,20,1.0,0.30341154,0.35594413
C330996942,C330996942,train,9,1.0,0.31759933,0.373757
C1653587362,C1653587362,train,9,1.0,0.23246484,0.26686996
C1690006071,C1690006071,train,38,1.0,0.28392726,0.33148146
C1035537848,C1035537848,train,23,1.0,0.25729632,0.29804608
C296834383,C296834383,train,6,1.0,0.28557962,0.333556
C1894539182,C1894539182,train,4,1.0,0.16215761,0.17859864
C916997939,C916997939,train,8,1.0,0.19922884,0.22514188
C2146670328,C2146670328,train,31,1.0,0.30562514,0.3587233
C266383440,C266383440,train,25,1.0,0.35723835,0.42352414
C91936186,C91936186,train,4,1.0,0.15112858,0.1647516
C671135114,C671135114,train,23,1.0,0.27530688,0.3206585
C389065516,C389065516,train,20,1.0,0.357965,0.42443642
C1992550266,C1992550266,train,30,1.0,0.3892147,0.4636707
C1966002811,C1966002811,train,43,1.0,0.39580098,0.47193983
C227472046,C227472046,train,6,1.0,0.2543934,0.29440144
C1254777952,C1254777952,train,14,1.0,0.24345036,0.28066236
C1609215593,C1609215593,train,16,1.0,0.32749644,0.3861829
C70209751,C70209751,train,8,1.0,0.13809808,0.14839171
C1564045599,C1564045599,train,40,1.0,0.30221885,0.3544467
C477262059,C477262059,train,17,1.0,0.26779926,0.3112326
C1161141257,C1161141257,train,4,1.0,0.19329475,0.21769159
C1153941405,C1153941405,train,3,1.0,0.07812352,0.07309315
C1798476342,C1798476342,train,16,1.0,0.30529523,0.35830912
C51144678,C51144678,train,23,1.0,0.3178311,0.374048
C2124012245,C2124012245,train,10,1.0,0.24992505,0.2887914
C340908219,C340908219,train,6,1.0,0.13533477,0.14492236
C1312031909,C1312031909,train,16,1.0,0.32482415,0.38282785
C49776683,C49776683,train,7,1.0,0.11790525,0.12303945
C1910425961,C1910425961,train,8,1.0,0.23250367,0.26691872
C1129467798,C1129467798,train,24,1.0,0.2703766,0.31446847
C493424930,C493424930,train,27,1.0,0.29475567,0.3450766
C139184111,C139184111,train,11,1.0,0.27846143,0.32461905
C1769542876,C1769542876,train,6,1.0,0.3090923,0.3630764
C1303144727,C1303144727,train,4,1.0,0.11831129,0.12354924
C467148053,C467148053,train,10,1.0,0.16892487,0.187095
C840928350,C840928350,train,6,1.0,0.23432226,0.26920196
C1229385284,C1229385284,train,6,1.0,0.16618612,0.18365648
C1932810385,C1932810385,train,4,1.0,0.18560387,0.20803562
C814296672,C814296672,train,3,1.0,0.1733515,0.19265267
C1262169546,C1262169546,train,34,1.0,0.32808226,0.38691843
C534171533,C534171533,train,17,1.0,0.2716972,0.3161265
C110048242,C110048242,train,3,1.0,0.17446533,0.19405109
C854835248,C854835248,train,4,1.0,0.17064728,0.1892575
C1398681592,C1398681592,train,9,1.0,0.21628845,0.24656036
C632110164,C632110164,train,5,1.0,0.34367245,0.40649202
C239895183,C239895183,train,6,1.0,0.17937453,0.20021464
C1948838736,C1948838736,train,38,1.0,0.29544005,0.34593585
C2069118895,C2069118895,train,6,1.0,0.22166574,0.2533116
C1827220106,C1827220106,train,7,1.0,0.5905636,0.71646595
C1479628852,C1479628852,train,3,1.0,0.11202063,0.11565126
C800378513,C800378513,train,7,1.0,0.21509199,0.2450582
C1331351284,C1331351284,train,3,1.0,0.2199863,0.25120306
C963512696,C963512696,train,8,1.0,0.21587314,0.24603894
C1983458809,C1983458809,train,7,1.0,0.21644846,0.24676125
C1314676285,C1314676285,train,36,1.0,0.3548769,0.42055932
C1075348177,C1075348177,train,6,1.0,0.13562623,0.14528827
C180656543,C180656543,train,6,1.0,0.3642459,0.43232214
C745454492,C745454492,train,3,1.0,0.13998559,0.1507615
C1135595077,C1135595077,train,5,1.0,0.17025505,0.18876505
C796298418,C796298418,train,16,1.0,0.32455802,0.3824937
C781959592,C781959592,train,6,1.0,0.14704053,0.15961903
C716083600,C716083600,train,50,1.0,0.47576594,0.5723365
C826538510,C826538510,train,3,1.0,0.16411598,0.1810574
C1245192492,C1245192492,train,15,1.0,0.23720643,0.27282307
C759846487,C759846487,train,4,1.0,0.15205815,0.1659187
C1419412213,C1419412213,train,4,1.0,0.13791406,0.14816068
C861498730,C861498730,train,11,1.0,0.29997244,0.3516263
C1983479612,C1983479612,train,8,1.0,0.20387183,0.2309712
C1732817669,C1732817669,train,40,1.0,0.26119646,0.30294275
C2023856876,C2023856876,train,6,1.0,0.18684702,0.2095964
C116289363,C116289363,train,11,1.0,0.41329145,0.49389926
C179706450,C179706450,train,27,1.0,0.29881465,0.3501727
C1482119856,C1482119856,train,6,1.0,0.2817612,0.32876194
C941219258,C941219258,train,12,1.0,0.19632773,0.22149952
C592056924,C592056924,train,23,1.0,0.22790559,0.26114577
C1042309658,C1042309658,train,16,1.0,0.2814635,0.32838818
C1906616566,C1906616566,train,9,1.0,0.31676617,0.37271097
C1609262789,C1609262789,train,23,1.0,0.35333464,0.41862297
C742155073,C742155073,train,15,1.0,0.20810015,0.23627989
C463164064,C463164064,train,16,1.0,0.27542552,0.32080746
C644345897,C644345897,train,50,1.0,0.3137508,0.36892515
C215244777,C215244777,train,22,1.0,0.3676469,0.43659216
C857187005,C857187005,train,14,1.0,0.22372097,0.25589195
C886844880,C886844880,train,3,1.0,0.09895691,0.09924965
C448102180,C448102180,train,8,1.0,0.21578789,0.24593191
C1833411414,C1833411414,train,7,1.0,0.1757113,0.19561543
C231660660,C231660660,train,6,1.0,0.29972234,0.3513123
C1354064635,C1354064635,train,10,1.0,0.29028326,0.33946148
C1151857075,C1151857075,train,23,1.0,0.2696901,0.31360656
C1995930923,C1995930923,train,5,1.0,0.091853015,0.09033065
C172797825,C172797825,train,18,1.0,0.39482695,0.47071692
C1211515404,C1211515404,train,4,1.0,0.25696206,0.2976264
C950019767,C950019767,train,25,1.0,0.38086855,0.45319206
C1639263930,C1639263930,train,4,1.0,0.2568112,0.297437
C487776685,C487776685,train,35,1.0,0.31625152,0.37206483
C136618845,C136618845,train,5,1.0,0.16445208,0.18147936
C27494611,C27494611,train,20,1.0,0.2931647,0.34307912
C1196198165,C1196198165,train,20,1.0,0.32361197,0.38130593
C802151575,C802151575,train,26,1.0,0.38607186,0.45972484
C977281429,C977281429,train,35,1.0,0.38836905,0.462609
C1880907151,C1880907151,train,6,1.0,0.20073824,0.22703694
C1686942753,C1686942753,train,8,1.0,0.17794402,0.19841862
C314012937,C314012937,train,9,1.0,0.21350741,0.24306875
C1796277088,C1796277088,train,14,1.0,0.2561324,0.29658476
C1732514770,C1732514770,train,8,1.0,0.12643315,0.1337463
C798319481,C798319481,train,11,1.0,0.18429631,0.20639397
C901438460,C901438460,train,42,1.0,0.38925624,0.46372285
C925285469,C925285469,train,28,1.0,0.3343353,0.39476916
C1743578484,C1743578484,train,13,1.0,0.27748927,0.3233985
C1983026804,C1983026804,train,22,1.0,0.31989452,0.37663865
C225616697,C225616697,train,7,1.0,0.12107205,0.12701538
C594018186,C594018186,train,5,1.0,0.15928094,0.17498697
C473496930,C473496930,train,22,1.0,0.47946882,0.5769855
C632437973,C632437973,train,14,1.0,0.27588004,0.32137808
C1324874027,C1324874027,train,8,1.0,0.25855982,0.29963243
C585344505,C585344505,train,4,1.0,0.186117,0.20867985
C1787080738,C1787080738,train,5,1.0,0.16094196,0.17707239
C1692377188,C1692377188,train,10,1.0,0.1519359,0.16576521
C1196762236,C1196762236,train,18,1.0,0.33528024,0.39595553
C1275559183,C1275559183,train,3,1.0,0.14577796,0.15803386
C1641192093,C1641192093,train,4,1.0,0.14040247,0.15128489
C1455294114,C1455294114,train,4,1.0,0.10099785,0.101812065
C248271098,C248271098,train,20,1.0,0.24741589,0.2856411
C299514580,C299514580,train,10,1.0,0.23256484,0.2669955
C1335051776,C1335051776,train,6,1.0,0.17929463,0.20011432
C247181868,C247181868,train,13,1.0,0.29360726,0.34363478
C1938098816,C1938098816,train,7,1.0,0.18299858,0.20476466
C597537774,C597537774,train,11,1.0,0.32095158,0.37796578
C421219545,C421219545,train,5,1.0,0.25876895,0.299895
C240278716,C240278716,train,10,1.0,0.37370127,0.44419345
C1580883487,C1580883487,train,4,1.0,0.10809808,0.11072647
C819390198,C819390198,train,15,1.0,0.29751247,0.3485378
C1478839564,C1478839564,train,16,1.0,0.27690157,0.32266065
C1445811732,C1445811732,train,29,1.0,0.2832458,0.33062586
C1230677699,C1230677699,train,4,1.0,0.1366254,0.14654274
C1520619561,C1520619561,train,13,1.0,0.21804148,0.24876131
C355648963,C355648963,train,5,1.0,0.25705138,0.29773855
C877334652,C877334652,train,28,1.0,0.3346507,0.39516515
C1852949479,C1852949479,train,4,1.0,0.17586946,0.195814
C1110499013,C1110499013,train,23,1.0,0.29620746,0.34689933
C1297951488,C1297951488,train,15,1.0,0.3649189,0.4331671
C1315078366,C1315078366,train,26,1.0,0.28068432,0.32740992
C1538319522,C1538319522,train,6,1.0,0.16071057,0.17678188
C1706673485,C1706673485,train,4,1.0,0.119932584,0.12558478
C756075054,C756075054,train,4,1.0,0.107158385,0.10954667
C1752658199,C1752658199,train,15,1.0,0.3003476,0.3520973
C791486868,C791486868,train,25,1.0,0.33533376,0.39602274
C1832609455,C1832609455,train,7,1.0,0.36970353,0.43917426
C585705042,C585705042,train,20,1.0,0.3852822,0.4587334
C1898820013,C1898820013,train,3,1.0,0.07946852,0.07478181
C918786855,C918786855,train,8,1.0,0.25200695,0.29140523
C1263000252,C1263000252,train,26,1.0,0.2638438,0.30626652
C1653697681,C1653697681,train,4,1.0,0.09237259,0.09098298
C260205493,C260205493,train,3,1.0,0.22498034,0.2574731
C218393296,C218393296,train,17,1.0,0.24898075,0.28760582
C1413151160,C1413151160,train,3,1.0,0.13310514,0.14212304
C279309247,C279309247,train,7,1.0,0.38128686,0.45371723
C1562027253,C1562027253,train,6,1.0,0.14126731,0.1523707
C184163720,C184163720,train,29,1.0,0.32365656,0.3813619
C1342571272,C1342571272,train,5,1.0,0.11230704,0.11601085
C1670620852,C1670620852,train,9,1.0,0.16574243,0.18309942
C825395175,C825395175,train,4,1.0,0.2861384,0.33425754
C1342636720,C1342636720,train,3,1.0,0.04426049,0.030577844
C736357191,C736357191,train,15,1.0,0.37062213,0.44032758
C1562779762,C1562779762,train,8,1.0,0.1612927,0.17751275
C1880051906,C1880051906,train,5,1.0,0.18104137,0.20230737
C991624495,C991624495,train,3,1.0,0.18014358,0.20118019
C1857536723,C1857536723,train,14,1.0,0.2886082,0.3373584
C997789760,C997789760,train,3,1.0,0.088726625,0.08640544
C967549667,C967549667,train,22,1.0,0.40760827,0.48676398
C790415785,C790415785,train,7,1.0,0.33816114,0.39957252
C1229558199,C1229558199,train,5,1.0,0.21048789,0.2392777
C872339657,C872339657,train,10,1.0,0.3967443,0.47312418
C1365125890,C1365125890,train,3,1.0,0.3482448,0.41223264
C610460069,C610460069,train,24,1.0,0.34856594,0.41263583
C2025243065,C2025243065,train,12,1.0,0.22929998,0.26289645
C1808434552,C1808434552,train,3,1.0,0.11868939,0.12402394
C1993931495,C1993931495,train,17,1.0,0.23476428,0.2697569
C577804571,C577804571,train,3,1.0,0.18060105,0.20175454
C1898150915,C1898150915,train,18,1.0,0.31530228,0.37087303
C1324801555,C1324801555,train,7,1.0,0.26068756,0.30230382
C944216727,C944216727,train,13,1.0,0.24198698,0.27882507
C154053358,C154053358,train,4,1.0,0.12936889,0.13743214
C305170140,C305170140,train,3,1.0,0.2577864,0.29866138
C1685224113,C1685224113,train,18,1.0,0.3178089,0.37402013
C1662149928,C1662149928,train,5,1.0,0.16360289,0.1804132
C1483387344,C1483387344,train,6,1.0,0.10812212,0.11075664
C133340407,C133340407,train,13,1.0,0.3581134,0.42462277
C939460136,C939460136,train,18,1.0,0.2265308,0.25941974
C575638324,C575638324,train,19,1.0,0.22172679,0.25338826
C816944286,C816944286,train,3,1.0,0.13942714,0.15006036
C1604656634,C1604656634,train,4,1.0,0.09822303,0.098328255
C808534536,C808534536,train,6,1.0,0.15540239,0.17011742
C1466122025,C1466122025,train,4,1.0,0.16180648,0.1781578
C1217960953,C1217960953,train,3,1.0,0.2518058,0.29115272
C180700180,C180700180,train,6,1.0,0.15666926,0.17170797
C2135177124,C2135177124,train,5,1.0,0.18381692,0.2057921
C1924984729,C1924984729,train,10,1.0,0.24689204,0.28498343
C728550781,C728550781,train,6,1.0,0.25168356,0.29099923
C101909578,C101909578,train,4,1.0,0.06396398,0.055315737
C98079296,C98079296,train,23,1.0,0.3198767,0.37661627
C1109457703,C1109457703,train,9,1.0,0.26768136,0.3110846
C1043093762,C1043093762,train,3,1.0,0.18101545,0.20227481
C165832169,C165832169,train,16,1.0,0.20822847,0.23644099
C80156835,C80156835,train,4,1.0,0.26547977,0.30832046
C493262477,C493262477,train,3,1.0,0.1503236,0.16374095
C1179031316,C1179031316,train,8,1.0,0.27086073,0.31507632
C1655359478,C1655359478,train,34,1.0,0.28959656,0.3385993
C1396625273,C1396625273,train,13,1.0,0.29077375,0.34007728
C649293371,C649293371,train,4,1.0,0.09239339,0.091009095
C1833702412,C1833702412,train,7,1.0,0.1927761,0.21704042
C61990291,C61990291,train,19,1.0,0.51806664,0.62544537
C803277933,C803277933,train,17,1.0,0.31997237,0.37673637
C537531657,C537531657,train,14,1.0,0.378997,0.4508423
C408849314,C408849314,train,3,1.0,0.16505603,0.18223764
C714852776,C714852776,train,10,1.0,0.20601614,0.2336634
C385675312,C385675312,train,15,1.0,0.27049118,0.31461233
C1611647330,C1611647330,train,5,1.0,0.18891712,0.21219543
C1192227259,C1192227259,train,27,1.0,0.3095076,0.36359778
C475311068,C475311068,train,3,1.0,0.08413996,0.08064684
C1311170446,C1311170446,train,3,1.0,0.18812427,0.2112
C627570303,C627570303,train,11,1.0,0.2294699,0.26310977
C274347857,C274347857,train,6,1.0,0.10933035,0.11227359
C1633587807,C1633587807,train,23,1.0,0.32056078,0.37747514
C1443885284,C1443885284,train,3,1.0,0.11179294,0.115365386
C2076906949,C2076906949,train,19,1.0,0.21739511,0.2479498
C430727809,C430727809,train,22,1.0,0.2716662,0.31608757
C875288652,C875288652,train,11,1.0,0.36389855,0.43188605
C1516151145,C1516151145,train,12,1.0,0.2785546,0.32473603
C1875866923,C1875866923,train,8,1.0,0.15554489,0.17029633
C1815006934,C1815006934,train,3,1.0,0.112401694,0.11612969
C1009901500,C1009901500,train,20,1.0,0.24860099,0.287129
C29887493,C29887493,train,4,1.0,0.17740028,0.19773594
C928051601,C928051601,train,22,1.0,0.31211647,0.36687323
C372062896,C372062896,train,20,1.0,0.3077251,0.36135983
C95880754,C95880754,train,5,1.0,0.15059811,0.1640856
C1646816538,C1646816538,train,3,1.0,0.06848081,0.060986657
C552429589,C552429589,train,4,1.0,0.21311074,0.24257073
C1867593514,C1867593514,train,22,1.0,0.37699378,0.4483272
C156111080,C156111080,train,15,1.0,0.27439043,0.31950787
C18175178,C18175178,train,13,1.0,0.21222548,0.24145928
C898274141,C898274141,train,6,1.0,0.11267108,0.1164679
C848134520,C848134520,train,8,1.0,0.13981566,0.15054815
C1273645677,C1273645677,train,4,1.0,0.1022105,0.10333456
C528705657,C528705657,train,33,1.0,0.29453653,0.3448015
C348031801,C348031801,train,7,1.0,0.18963999,0.213103
C580102695,C580102695,train,23,1.0,0.3715654,0.44151187
C2019813234,C2019813234,train,12,1.0,0.21964031,0.25076866
C1982874632,C1982874632,train,11,1.0,0.24648297,0.28446984
C1879948586,C1879948586,train,26,1.0,0.31061244,0.3649849
C1459698370,C1459698370,train,6,1.0,0.2225825,0.2544626
C580058151,C580058151,train,10,1.0,0.18737423,0.21025833
C2006029122,C2006029122,train,15,1.0,0.2696763,0.31358925
C974221574,C974221574,train,22,1.0,0.33883128,0.4004139
C509990885,C509990885,train,8,1.0,0.13836189,0.14872292
C709815552,C709815552,train,8,1.0,0.35807765,0.42457786
C943512909,C943512909,train,18,1.0,0.38101327,0.45337373
C1048619563,C1048619563,train,10,1.0,0.38285935,0.45569152
C802139688,C802139688,train,26,1.0,0.2588691,0.30002072
C737099940,C737099940,train,9,1.0,0.15205733,0.16591766
C946491737,C946491737,train,21,1.0,0.3194475,0.37607738
C731457880,C731457880,train,6,1.0,0.28008592,0.3266586
C615227407,C615227407,train,19,1.0,0.44680962,0.5359816
C381648011,C381648011,train,9,1.0,0.22875087,0.26220703
C92525321,C92525321,train,37,1.0,0.31781825,0.37403187
C842496101,C842496101,train,10,1.0,0.23630317,0.271689
C1283356428,C1283356428,train,11,1.0,0.3021266,0.35433087
C335413710,C335413710,train,3,1.0,0.07213623,0.06557607
C387457266,C387457266,train,7,1.0,0.4023454,0.4801564
C264512063,C264512063,train,28,1.0,0.3181995,0.3745105
C522001237,C522001237,train,14,1.0,0.643169,0.7825124
C21837280,C21837280,train,4,1.0,0.10269717,0.103945576
C492308077,C492308077,train,15,1.0,0.2947564,0.34507754
C1281019843,C1281019843,train,22,1.0,0.38682866,0.460675
C725544013,C725544013,train,6,1.0,0.33566314,0.39643627
C939725119,C939725119,train,5,1.0,0.09713351,0.09696036
C1580835462,C1580835462,train,14,1.0,0.39380658,0.46943584
C1738146204,C1738146204,train,15,1.0,0.16136962,0.17760932
C995315551,C995315551,train,15,1.0,0.24325196,0.28041327
C1800302951,C1800302951,train,4,1.0,0.12662289,0.1339845
C833344626,C833344626,train,17,1.0,0.28551888,0.33347973
C941458024,C941458024,train,15,1.0,0.24064271,0.27713734
C2120671448,C2120671448,train,4,1.0,0.12672126,0.13410802
C1318550066,C1318550066,train,28,1.0,0.3058917,0.35905796
C814473635,C814473635,train,34,1.0,0.28079298,0.32754633
C143103274,C143103274,train,4,1.0,0.119250834,0.124728836
C362023079,C362023079,train,36,1.0,0.32623813,0.38460308
C273071988,C273071988,train,7,1.0,0.16370113,0.18053655
C1692249598,C1692249598,train,7,1.0,0.25555086,0.29585466
C843527352,C843527352,train,5,1.0,0.11407935,0.118236
C1526183462,C1526183462,train,3,1.0,0.31364137,0.36878777
C1160105017,C1160105017,train,12,1.0,0.34710094,0.41079652
C886414281,C886414281,train,8,1.0,0.14508648,0.1571657
C587386073,C587386073,train,15,1.0,0.24559417,0.28335395
C110673427,C110673427,train,4,1.0,0.16751195,0.18532108
C55403746,C55403746,train,3,1.0,0.08626223,0.08331138
C1134558606,C1134558606,train,13,1.0,0.28141212,0.32832366
C1982168080,C1982168080,train,5,1.0,0.20495477,0.23233084
C73237279,C73237279,train,10,1.0,0.20028372,0.2264663
C105774839,C105774839,train,3,1.0,0.18618461,0.20876475
C375267568,C375267568,train,10,1.0,0.4667037,0.5609588
C873221189,C873221189,train,28,1.0,0.27567932,0.3211261
C1002183297,C1002183297,train,7,1.0,0.51540506,0.62210375
C699011744,C699011744,train,14,1.0,0.3066801,0.36004785
C125311108,C125311108,train,8,1.0,0.34536454,0.40861645
C1877373343,C1877373343,train,12,1.0,0.25728008,0.2980257
C2143635145,C2143635145,train,26,1.0,0.26398167,0.3064396
C422970659,C422970659,train,9,1.0,0.28306186,0.33039492
C1927695058,C1927695058,train,11,1.0,0.2700781,0.3140937
C1401780750,C1401780750,train,17,1.0,0.3954964,0.4715574
C1968350430,C1968350430,train,7,1.0,0.32493106,0.38296205
C28783325,C28783325,train,36,1.0,0.34838554,0.41240937
C1385705037,C1385705037,train,18,1.0,0.30611905,0.35934344
C1571003117,C1571003117,train,7,1.0,0.2105761,0.23938847
C797897879,C797897879,train,5,1.0,0.21607497,0.24629234
C1652358920,C1652358920,train,6,1.0,0.1859816,0.20850986
C1736112221,C1736112221,train,6,1.0,0.12287843,0.12928332
C1138209414,C1138209414,train,4,1.0,0.12168595,0.12778614
C2132741249,C2132741249,train,19,1.0,0.37626064,0.44740677
C677701060,C677701060,train,31,1.0,0.29390422,0.3440076
C1781043707,C1781043707,train,14,1.0,0.33789504,0.39923844
C1064040919,C1064040919,train,4,1.0,0.16278586,0.17938742
C2141549007,C2141549007,train,14,1.0,0.2836177,0.3310928
C1991324873,C1991324873,train,3,1.0,0.07249846,0.06603085
C317596259,C317596259,train,12,1.0,0.21235612,0.2416233
C1704707395,C1704707395,train,12,1.0,0.30318472,0.35565934
C148096714,C148096714,train,9,1.0,0.1672854,0.18503663
C1407010141,C1407010141,train,23,1.0,0.3277583,0.38651168
C961243143,C961243143,train,14,1.0,0.25821534,0.2991999
C768896772,C768896772,train,3,1.0,0.47145334,0.566922
C141365964,C141365964,train,7,1.0,0.18960051,0.21305344
C390478316,C390478316,train,13,1.0,0.245909,0.28374922
C1375508405,C1375508405,train,17,1.0,0.22520745,0.25775823
C2045743358,C2045743358,train,10,1.0,0.2404283,0.27686813
C1969723986,C1969723986,train,16,1.0,0.25754613,0.29835972
C1502171587,C1502171587,train,11,1.0,0.36213708,0.4296745
C1391104856,C1391104856,train,10,1.0,0.20368771,0.23074004
C911165143,C911165143,train,6,1.0,0.15702656,0.17215657
C2132856872,C2132856872,train,5,1.0,0.12236792,0.12864237
C219699784,C219699784,train,8,1.0,0.22897013,0.26248232
C966943233,C966943233,train,25,1.0,0.29614788,0.34682453
C2079441909,C2079441909,train,26,1.0,0.31585577,0.37156796
C1984867155,C1984867155,train,4,1.0,0.11057303,0.113833785
C1707908238,C1707908238,train,10,1.0,0.24120468,0.2778429
C152339852,C152339852,train,4,1.0,0.28294006,0.330242
C2049190094,C2049190094,train,22,1.0,0.2669129,0.31011978
C1375290514,C1375290514,train,4,1.0,0.15608752,0.17097759
C1570699013,C1570699013,train,19,1.0,0.30791408,0.3615971
C1718510079,C1718510079,train,3,1.0,0.090128265,0.088165216
C1897803882,C1897803882,train,7,1.0,0.24845019,0.28693968
C1536033650,C1536033650,train,10,1.0,0.20822698,0.23643912
C1546609345,C1546609345,train,44,1.0,0.27107266,0.3153424
C1695795020,C1695795020,train,6,1.0,0.18305142,0.204831
C1784013165,C1784013165,train,19,1.0,0.34735388,0.4111141
C1624455220,C1624455220,train,35,1.0,0.27646825,0.32211658
C615508627,C615508627,train,26,1.0,0.36030704,0.4273769
C1679780828,C1679780828,train,6,1.0,0.1590902,0.1747475
C2120724538,C2120724538,train,13,1.0,0.28539082,0.33331898
C338573575,C338573575,train,6,1.0,0.118690975,0.12402593
C1818870755,C1818870755,train,19,1.0,0.2967483,0.34757838
C1409959,C1409959,train,31,1.0,0.32155704,0.37872595
C1610940627,C1610940627,train,8,1.0,0.40725157,0.48631614
C1495941646,C1495941646,train,14,1.0,0.34059256,0.4026252
C1736990542,C1736990542,train,13,1.0,0.32220742,0.3795425
C1774300494,C1774300494,train,3,1.0,0.07790449,0.07281817
C719125515,C719125515,train,5,1.0,0.23724592,0.27287263
C1664913171,C1664913171,train,12,1.0,0.23101452,0.26504907
C1648449094,C1648449094,train,7,1.0,0.17595792,0.19592506
C2133878060,C2133878060,train,8,1.0,0.19882967,0.22464071
C1164504489,C1164504489,train,17,1.0,0.26311275,0.30534866
C1759363094,C1759363094,train,9,1.0,0.23712452,0.27272022
C722271938,C722271938,train,4,1.0,0.26478952,0.30745387
C2032646914,C2032646914,train,22,1.0,0.31459525,0.36998537
C2144015041,C2144015041,train,38,1.0,0.33607796,0.39695707
C1036604265,C1036604265,train,12,1.0,0.3964919,0.47280726
C606914329,C606914329,train,5,1.0,0.21225472,0.24149598
C845050993,C845050993,train,13,1.0,0.29278842,0.3426067
C1248449720,C1248449720,train,30,1.0,0.26083004,0.3024827
C326321916,C326321916,train,3,1.0,0.12145648,0.12749805
C1661119285,C1661119285,train,22,1.0,0.3360296,0.39689636
C1422044374,C1422044374,train,14,1.0,0.54379755,0.6577508
C1698955763,C1698955763,train,3,1.0,0.04504732,0.031565715
C1536498682,C1536498682,train,16,1.0,0.27145505,0.31582248
C461319045,C461319045,train,21,1.0,0.24819537,0.28661975
C1873143762,C1873143762,train,10,1.0,0.24409333,0.2814696
C764672612,C764672612,train,29,1.0,0.29263693,0.34241652
C1011864403,C1011864403,train,13,1.0,0.26134846,0.30313358
C1755092826,C1755092826,train,26,1.0,0.40240297,0.48022866
C1333107954,C1333107954,train,3,1.0,0.14270303,0.15417325
C465118409,C465118409,train,12,1.0,0.3920504,0.46723092
C248250646,C248250646,train,21,1.0,0.29560372,0.34614134
C1691754688,C1691754688,train,6,1.0,0.24961668,0.28840423
C959776008,C959776008,train,4,1.0,0.16789727,0.18580484
C1566713324,C1566713324,train,8,1.0,0.1937642,0.21828097
C1410772005,C1410772005,train,19,1.0,0.32390267,0.3816709
C382134181,C382134181,train,20,1.0,0.40783897,0.48705363
C708118422,C708118422,train,26,1.0,0.35343713,0.41875166
C1486240719,C1486240719,train,14,1.0,0.18102239,0.20228353
C516816901,C516816901,train,6,1.0,0.129063,0.13704808
C1750307657,C1750307657,train,16,1.0,0.24036252,0.27678555
C582209368,C582209368,train,26,1.0,0.32438818,0.38228047
C1977391812,C1977391812,train,7,1.0,0.17879072,0.19948165
C256790,C256790,train,4,1.0,0.28046808,0.32713842
C1899546171,C1899546171,train,5,1.0,0.17533061,0.19513746
C1434520582,C1434520582,train,16,1.0,0.22530238,0.25787744
C708073508,C708073508,train,6,1.0,0.2837593,0.33127058
C580926195,C580926195,train,11,1.0,0.3280457,0.3868725
C1834461593,C1834461593,train,26,1.0,0.23868942,0.27468497
